"","PBA_cluster","MS_protein","Pearson_corr","p_value"
"212","c2","IGKV4-1",0.942857142857143,0.0166666666666667
"213","c7","ARF6",0.885714285714286,0.0333333333333333
"214","c8","FGB",0.885714285714286,0.0333333333333333
"215","c12","FGB",0.942857142857143,0.0166666666666667
"216","c7","G6PD",0.885714285714286,0.0333333333333333
"217","c5","PODXL",1,0.0166666666666667
"218","c1","APOH",0.885714285714286,0.0333333333333333
"219","c7","COL5A1",0.885714285714286,0.0333333333333333
"220","c7","HAT1",0.885714285714286,0.0333333333333333
"221","c2","IGLV3-9",0.942857142857143,0.0166666666666667
"222","c2","CNN2",0.885714285714286,0.0333333333333333
"223","c7","ANTXR2",0.885714285714286,0.0333333333333333
"224","c7","WDFY1",0.885714285714286,0.0333333333333333
"225","c0","AGT",0.885714285714286,0.0333333333333333
"226","c6","C8B",1,0.00277777777777778
"227","c12","C8B",0.942857142857143,0.0166666666666667
"228","c2","ALB",0.942857142857143,0.0166666666666667
"229","c2","KPRP",0.885714285714286,0.0333333333333333
"230","c2","CFB",0.942857142857143,0.0166666666666667
"231","c7","SLC7A1",0.885714285714286,0.0333333333333333
"232","c9","AZGP1",0.942857142857143,0.0166666666666667
"233","c7","XPOT",0.942857142857143,0.0166666666666667
"234","c7","SMU1",0.942857142857143,0.0166666666666667
"235","c5","MARCKSL1",0.942857142857143,0.0166666666666667
"236","c2","HRNR",0.942857142857143,0.0166666666666667
"237","c7","CAPN1",0.885714285714286,0.0333333333333333
"238","c6","IGHV1-8",0.942857142857143,0.0166666666666667
"239","c12","IGHV1-8",1,0.00277777777777778
"240","c2","C2",0.885714285714286,0.0333333333333333
"241","c6","C2",0.885714285714286,0.0333333333333333
"242","c12","C2",0.942857142857143,0.0166666666666667
"243","c7","AMDHD1",0.885714285714286,0.0333333333333333
"244","c1","EHD4",0.942857142857143,0.0166666666666667
"245","c7","PSMB6",0.942857142857143,0.0166666666666667
"246","c2","ATRN",0.942857142857143,0.0166666666666667
"247","c6","ATRN",0.942857142857143,0.0166666666666667
"248","c12","ATRN",0.885714285714286,0.0333333333333333
"249","c1","IGKV5-2",1,0.0166666666666667
"250","c2","IGKV5-2",1,0.0166666666666667
"251","c7","CERT1",0.885714285714286,0.0333333333333333
"252","c8","HP",0.885714285714286,0.0333333333333333
"253","c12","HP",0.942857142857143,0.0166666666666667
"254","c6","ITIH4",0.942857142857143,0.0166666666666667
"255","c12","ITIH4",0.885714285714286,0.0333333333333333
"256","c1","C8G",0.942857142857143,0.0166666666666667
"257","c8","C8G",0.885714285714286,0.0333333333333333
"258","c1","SPTA1",0.885714285714286,0.0333333333333333
"259","c8","SPTA1",0.942857142857143,0.0166666666666667
"260","c6","IGHV1OR15-1",1,0.00277777777777778
"261","c12","IGHV1OR15-1",0.942857142857143,0.0166666666666667
"262","c12","CRISP3",0.885714285714286,0.0333333333333333
"263","c2","IGKV3-20",1,0.00277777777777778
"264","c2","RAB14",0.942857142857143,0.0166666666666667
"265","c2","IGHV3-7",0.885714285714286,0.0333333333333333
"266","c6","IGHV3-7",0.885714285714286,0.0333333333333333
"267","c12","IGHV3-7",0.942857142857143,0.0166666666666667
"268","c6","IGHV5-51",1,0.00277777777777778
"269","c12","IGHV5-51",0.942857142857143,0.0166666666666667
"270","c2","CPN2",0.942857142857143,0.0166666666666667
"271","c6","APOA2",0.942857142857143,0.0166666666666667
"272","c11","APOA2",0.885714285714286,0.0333333333333333
"273","c2","IGKV1-6",0.885714285714286,0.0333333333333333
"274","c6","IGKV1-6",0.885714285714286,0.0333333333333333
"275","c11","IGKV1-6",0.942857142857143,0.0166666666666667
"276","c5","PBLD",0.885714285714286,0.0333333333333333
"277","c7","DHX15",0.942857142857143,0.0166666666666667
"278","c7","ATP2B1",0.885714285714286,0.0333333333333333
"279","c7","PPP4C",0.885714285714286,0.0333333333333333
"280","c9","TXN",0.942857142857143,0.0166666666666667
"281","c9","MBL2",0.885714285714286,0.0333333333333333
"282","c7","LDLR",0.885714285714286,0.0333333333333333
"283","c0","F13B",0.942857142857143,0.0166666666666667
"284","c6","ADIPOQ",1,0.00277777777777778
