"","PBA_cluster","MS_protein","Pearson_corr","p_value"
"36","c0","CHGB",0.885714285714286,0.0333333333333333
"37","c6","C4BPA",0.885714285714286,0.0333333333333333
"38","c6","DPT",0.942857142857143,0.0166666666666667
"39","c4","SHBG",0.942857142857143,0.0166666666666667
"40","c6","PON3",0.885714285714286,0.0333333333333333
"41","c11","CDH5",0.942857142857143,0.0166666666666667
"42","c9","DCXR",1,0.0166666666666667
"43","c7","PDIA4",0.942857142857143,0.0166666666666667
"44","c13","PDIA4",0.885714285714286,0.0333333333333333
"45","c7","CLSTN1",0.885714285714286,0.0333333333333333
"46","c4","C1QA",0.942857142857143,0.0166666666666667
"47","c6","CPN1",1,0.00277777777777778
"48","c4","CLEC3B",0.885714285714286,0.0333333333333333
"49","c12","CLEC3B",0.885714285714286,0.0333333333333333
"50","c7","TLN1",0.885714285714286,0.0333333333333333
"51","c9","IGLL5",0.885714285714286,0.0333333333333333
"52","c1","MAN2A1",0.885714285714286,0.0333333333333333
"53","c11","INHBC",0.885714285714286,0.0333333333333333
"54","c14","IGLL1",0.885714285714286,0.0333333333333333
"55","c7","NCAN",0.885714285714286,0.0333333333333333
"56","c2","SLC1A5",0.942857142857143,0.0166666666666667
"57","c14","A1BG",0.942857142857143,0.0166666666666667
"58","c7","SERPINA10",0.942857142857143,0.0166666666666667
"59","c4","APOA5",0.885714285714286,0.0333333333333333
"60","c7","CADM1",0.885714285714286,0.0333333333333333
"61","c11","ADAMTSL2",0.942857142857143,0.0166666666666667
"62","c7","TTN",0.942857142857143,0.0166666666666667
"63","c4","IGHV3-49",0.942857142857143,0.0166666666666667
"64","c3","C4BPB",0.942857142857143,0.0166666666666667
"65","c7","IGKV2-29",0.885714285714286,0.0333333333333333
"66","c0","LYVE1",0.885714285714286,0.0333333333333333
"67","c1","PYGB",0.942857142857143,0.0166666666666667
"68","c6","C3",0.942857142857143,0.0166666666666667
"69","c13","IGSF8",0.885714285714286,0.0333333333333333
"70","c7","EFEMP2",0.885714285714286,0.0333333333333333
"71","c4","MST1",0.942857142857143,0.0166666666666667
"72","c9","IGHV3-13",0.885714285714286,0.0333333333333333
"73","c4","CAMP",0.942857142857143,0.0166666666666667
"74","c7","NCAM1",0.885714285714286,0.0333333333333333
"75","c7","BTD",0.885714285714286,0.0333333333333333
"76","c4","APOF",0.885714285714286,0.0333333333333333
"77","c12","APOF",0.885714285714286,0.0333333333333333
"78","c7","IGHA2",0.885714285714286,0.0333333333333333
"79","c7","CNTN1",0.942857142857143,0.0166666666666667
"80","c7","HBB",0.84066800169605,0.0360575728451593
"81","c6","IGHV3-38",1,0.00277777777777778
"82","c14","PRDX2",1,0.0166666666666667
"83","c6","APCS",0.942857142857143,0.0166666666666667
"84","c8","HMCN2",1,0.0166666666666667
"85","c7","PTGES3",0.885714285714286,0.0333333333333333
"86","c2","EXTL2",0.885714285714286,0.0333333333333333
"87","c8","ARCN1",1,0.0166666666666667
"88","c4","GAPDH",0.885714285714286,0.0333333333333333
"89","c14","GAPDH",0.942857142857143,0.0166666666666667
"90","c7","SEZ6L2",0.942857142857143,0.0166666666666667
"91","c13","SEZ6L2",0.885714285714286,0.0333333333333333
"92","c6","BGN",0.942857142857143,0.0166666666666667
"93","c0","C4B_2",0.885714285714286,0.0333333333333333
"94","c6","APOD",0.942857142857143,0.0166666666666667
"95","c1","COL6A3",0.885714285714286,0.0333333333333333
"96","c2","C1RL",0.885714285714286,0.0333333333333333
"97","c5","FN1",0.811679449913428,0.0498575851013404
"98","c6","FN1",0.84066800169605,0.0360575728451593
"99","c7","ILK",0.942857142857143,0.0166666666666667
"100","c13","ILK",0.885714285714286,0.0333333333333333
"101","c6","PCYOX1",0.942857142857143,0.0166666666666667
"102","c11","MMP2",0.942857142857143,0.0166666666666667
"103","c7","DKK3",0.885714285714286,0.0333333333333333
"104","c13","DKK3",0.942857142857143,0.0166666666666667
"105","c7","NID1",0.885714285714286,0.0333333333333333
"106","c2","SEZ6L",0.885714285714286,0.0333333333333333
"107","c11","NAP1L4",0.885714285714286,0.0333333333333333
"108","c11","IGLV9-49",0.885714285714286,0.0333333333333333
"109","c0","CD248",0.885714285714286,0.0333333333333333
"110","c7","IGHV1-45",0.885714285714286,0.0333333333333333
"111","c7","PLXDC2",1,0.00277777777777778
"112","c13","PLXDC2",0.942857142857143,0.0166666666666667
