"","AF4_1_a","AF4_1_b","AF4_2_a","AF4_2_b","AF4_3_a","AF4_3_b","MF_1_b","MF_1_a","MF_2_a","MF_2_b","MF_3_a","MF_3_b","SEC_1_a","SEC_1_b","SEC_2_a","SEC_2_b","SEC_3_a","SEC_3_b"
"ACE",23.0756149389409,23.2989396349727,22.5403778119997,22.5451002222421,22.5165310700453,23.1930993845676,NA,NA,14.4035713057717,15.7460287574384,16.4123846026076,15.3454641564866,NA,NA,NA,NA,NA,NA
"PTPRM",20.5753527379648,21.0131147682802,17.4987089930908,19.8635374899221,19.7205715961911,20.7836529265442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RCC1",23.0869940010714,23.3142358220692,22.4551305253812,22.5544989202444,22.7285815471603,23.304520667236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIGAR",20.7572467537217,20.8360834957719,20.4408752491026,20.6144609321593,20.2261710868461,20.8970994714043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SNX6",22.206575616824,22.3017328498644,21.3878958430275,21.4160506372172,21.5961897561444,22.3910001879615,18.1694797652091,15.8328183324289,17.7387520065799,17.7586591538709,17.8610020676031,NA,NA,NA,NA,NA,NA,17.9482873737216
"ALDH7A1",21.7543411308599,22.145693374677,21.5132842407885,21.5490842864965,21.6159591465939,22.2272915938641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPL22",23.9950715116303,24.3121595035901,23.373035050927,23.6616650349196,23.4924129937559,24.1703554289113,17.2825274049712,16.741967250229,17.4551265109198,18.0927984262449,17.8813111607787,17.8943737195983,NA,NA,NA,NA,NA,NA
"HABP2",21.7941969018752,NA,20.1678505465064,19.4020273432619,NA,NA,32.4209148100433,31.9677421818777,32.0800451515025,31.8571230091977,32.1663860004415,32.2307765877115,18.3301772443368,18.1698173745068,18.2072431559367,17.9022043308172,17.8193807908646,17.2775416803311
"CA1",17.7753144897258,17.6613884284359,16.5937266621059,16.8691479923825,16.3289798972026,16.0806676553807,21.0167294099041,20.8681654292088,20.6041025336565,20.5186368290698,20.9874763697699,20.9422259706975,23.2095533166239,22.8327540630169,22.3392171717869,22.5310472883452,21.981041468302,21.7432192062613
"PRMT1",24.4922835237987,24.5788830788713,23.5949131886903,23.8161664903142,23.9933447669109,24.386402476223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C4A",23.429819436852,23.6746526248738,24.4545031302676,24.1277034500893,22.8093128192732,24.1588475637925,27.7858136235443,28.1263254237464,28.2048979558858,28.3464651735357,28.3324480056064,28.0099862709715,25.1518985242037,24.5026385674919,25.2502469430607,24.5189335602606,25.1233680703892,24.5141245723382
"CORO1A",24.9539363823526,25.1794960827678,24.4150619206086,24.6364405337805,24.6169481212833,25.1893335378956,15.0858956451935,17.0068410469702,16.6584555752977,NA,17.3555429497186,15.4358720678785,20.7391534798583,18.5400296311191,17.5775121783253,17.5104211286166,15.5937383316343,15.3484100403087
"GPLD1",22.1142608668404,22.2035917583852,22.8801694168175,23.0190314105745,21.9024222236647,22.5661618377699,27.6703364061244,27.6984287131537,27.2926350581185,27.104496058928,27.3628572236158,27.6409970706925,24.2721308383506,24.0649676947414,24.5290997435484,24.0861841806511,24.4182829423549,24.2556590853622
"IGF2R",23.6485594637291,23.9959341095878,23.0492636119939,23.1930993845676,23.1976054633195,23.6928538426858,17.5979725098118,NA,17.7012387663463,16.9960210308546,17.7003313385414,18.9205215042752,17.2164427391605,16.6027293074177,16.5382844334597,15.2729249707678,17.9411450638499,19.2250812558725
"TPI1",26.9472623764293,27.0853739054032,26.579746365049,26.3827796811565,26.7440667946577,27.2642765029648,NA,NA,14.5570867039887,NA,NA,NA,19.4887939513333,17.3487973001508,17.8034374450672,NA,16.6594385014557,17.4799933564739
"LAMTOR3",21.1367458506942,21.141922519379,20.2637334032748,20.3445646541948,20.6170261693663,21.2502371105779,NA,NA,NA,NA,NA,NA,16.4869669693437,NA,NA,NA,NA,NA
"COMT",22.0457799880594,22.3246659357583,21.4084417005456,21.4479408148178,21.6891376317873,22.2716237409141,NA,NA,NA,NA,NA,NA,15.5887322007559,15.1613720496672,NA,NA,NA,NA
"SEMA3G",22.3293715311867,22.3671971633763,21.2592524848227,21.5822632892837,21.50383253011,22.1976054633195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PTPRS",22.8384591649327,22.9279573157718,22.1759466386484,22.3922888569966,22.2179639082872,22.7775603399887,17.5716859931499,17.9295473811048,17.1063482377075,NA,17.3871759165449,17.5698185320157,15.2982344433074,15.4886623666602,15.8529025215173,14.9599204522612,16.4672584617255,16.2178611667077
"SMARCA5",21.8616730635548,22.2656963038331,21.3212036596945,18.3090499625151,18.5722598258722,19.2723085651533,NA,16.7195492540855,NA,16.6180986784558,NA,NA,NA,NA,NA,NA,NA,NA
"FLT4",20.1206023937142,20.4272637319482,19.4817560808029,19.7471980982364,19.5358657709805,20.3538015700072,21.5751879068396,22.1693078721545,22.0216943729009,22.229005355268,22.1050283281953,21.9424031793308,NA,NA,NA,NA,NA,NA
"MTHFD1",24.8181187166485,25.105495501324,24.1968554268893,24.4545031302676,24.4342810552902,25.1565349343244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NT5DC1",22.2477143116175,22.7994650333168,21.9107612912414,21.9315685693242,22.123891845301,22.7306558753982,NA,NA,NA,17.6660852754565,NA,NA,NA,NA,NA,NA,NA,NA
"EIF3A",24.021575099228,24.4047060570964,23.6573097258281,23.8259013116019,23.9297640724774,24.6567643865508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRABP2",19.6438104003871,19.9565250500161,19.0269178215039,19.7119744248605,18.7099992111327,20.1475043123343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DNAJC7",22.185557835555,22.2222633794395,21.756493613702,21.9382698091886,21.9796125456147,22.2649923030494,NA,NA,NA,18.8794695773825,16.326813915813,16.0024612412686,NA,19.8400525588913,20.0019578972156,NA,NA,20.8499548037705
"KIF5B",21.550831785419,21.7821767936897,20.7894110590795,20.8983556055132,21.265849078146,21.3816284954489,NA,NA,NA,NA,NA,NA,14.1787193089157,NA,NA,NA,NA,NA
