"","protein","avg_percent","avg_percent_all","FC","cate","log2FC","spec","new_column","spec1","source","Sum","Mean","F","pvalue","qvalue"
"252","TACSTD2",0.00446370048679758,0.00359736039878636,1.24082660394646,"Exo-CMDS",0.311301523925527,"no",NA,"no","method1","4.366605e-04","1.455535e-04","1006.6883073",8.942513e-54,1.0982523778125e-52
"253","MICA",0.00139554565632403,0.00114132777982749,1.22273870923826,"Exo-CMDS",0.290116142900048,"no",NA,"no","method1","6.622085e-06","2.207362e-06","89.71515066",6.89882e-23,2.27834979831933e-22
"254","MMP9",0.00179400481674482,0.00151128172787505,1.18707503945495,"Exo-CMDS",0.247411136014128,"no",NA,"no","method1","8.412033e-05","2.804011e-05","860.524385",1.207922e-51,1.15783742926829e-50
"255","CLDN4",0.00100263144570714,0.000853444323097184,1.17480592297873,"Exo-CMDS",0.232422444379844,"no",NA,"no","method1","9.036599e-06","3.012200e-06","202.860093",1.256005e-32,4.81570697560976e-32
"256","CD44",0.000753468053406355,0.000662146779208388,1.13791696503779,"Exo-CMDS",0.186395286555875,"no",NA,"no","method1","8.454757e-06","2.818252e-06","933.0529070",9.638602e-53,1.02377583405405e-51
"257","CD40",0.00342233195700826,0.00307675204442046,1.11231971494566,"Exo-CMDS",0.153571522657967,"no",NA,"no","method1","5.234025e-04","1.744675e-04","3617.76472",2.437294e-71,1.915713084e-68
"258","LAMP1",0.00192471657561363,0.00178352173853278,1.07916631125394,"Exo-CMDS",0.109917216940797,"no",NA,"no","method1","5.915318e-05","1.971773e-05","806.6013052",9.09029e-51,8.05756595730337e-50
"259","PLAU",0.000699849018224954,0.00065465895175551,1.06902840990452,"Exo-CMDS",0.0963001938289735,"no",NA,"no","method1","3.536893e-06","1.178964e-06","95.648437",1.311911e-23,4.42558818025751e-23
"260","CDH13",0.0024410672550839,0.00230778261658129,1.05775441653168,"Exo-CMDS",0.081004709513742,"no",NA,"no","method1","4.819786e-05","1.606595e-05","182.465328",2.643994e-31,9.75671025352113e-31
"261","CD26",0.00628102191961803,0.00598684860587816,1.04913658806255,"Exo-CMDS",0.0692025159442968,"no",NA,"no","method1","4.724113e-04","1.574704e-04","396.713842",2.816541e-41,1.34169771272727e-40
"262","DSG1",0.00120968892672102,0.00115932325724508,1.04344402578071,"Exo-CMDS",0.0613532110444551,"no",NA,"no","method1","7.453428e-06","2.484476e-06","95.149394",1.503548e-23,5.05037917948718e-23
"263","ULBP3",0.000871485811498116,0.000841419776683,1.03573250314325,"Exo-CMDS",0.050651448758653,"no",NA,"no","method1","8.396945e-06","2.798982e-06","176.110185",7.273436e-31,2.65903288186046e-30
