"","PBA_cluster","MS_protein","Pearson_corr","p_value"
"186","c3","FLOT1",0.885714285714286,0.0333333333333333
"187","c4","FLOT1",0.942857142857143,0.0166666666666667
"188","c9","FLOT1",0.942857142857143,0.0166666666666667
"189","c3","RAB7A",0.885714285714286,0.0333333333333333
"190","c3","RAB14",0.942857142857143,0.0166666666666667
"191","c3","MFGE8",0.942857142857143,0.0166666666666667
"192","c4","MFGE8",0.885714285714286,0.0333333333333333
"193","c9","MFGE8",0.885714285714286,0.0333333333333333
"194","c3","F8",0.942857142857143,0.0166666666666667
"195","c3","CD82",0.885714285714286,0.0333333333333333
"196","c4","CD82",0.942857142857143,0.0166666666666667
"197","c9","CD82",0.942857142857143,0.0166666666666667
"198","c7","CPN2",0.942857142857143,0.0166666666666667
"199","c3","SELL",0.84066800169605,0.0360575728451593
"200","c9","SELL",0.811679449913428,0.0498575851013404
"201","c2","CHL1",0.942857142857143,0.0166666666666667
"202","c8","CHL1",0.942857142857143,0.0166666666666667
"203","c3","MSN",0.885714285714286,0.0333333333333333
"204","c4","MSN",0.942857142857143,0.0166666666666667
"205","c9","MSN",0.942857142857143,0.0166666666666667
"206","c7","F13B",0.942857142857143,0.0166666666666667
"207","c4","RAB5C",0.885714285714286,0.0333333333333333
"208","c9","RAB5C",1,0.00277777777777778
"209","c7","ADIPOQ",0.885714285714286,0.0333333333333333
"210","c4","SDCBP",0.885714285714286,0.0333333333333333
"211","c9","SDCBP",1,0.00277777777777778
"212","c1","FCN2",0.811679449913428,0.0498575851013404
"213","c2","FCN2",0.811679449913428,0.0498575851013404
"214","c7","FCN2",0.927633657043918,0.00766584418747316
"215","c8","FCN2",0.811679449913428,0.0498575851013404
"216","c9","KNG1",0.885714285714286,0.0333333333333333
"217","c2","AMBP",0.811679449913428,0.0498575851013404
"218","c7","AMBP",0.84066800169605,0.0360575728451593
"219","c8","AMBP",0.811679449913428,0.0498575851013404
"220","c3","CD9",0.885714285714286,0.0333333333333333
"221","c4","CD9",0.942857142857143,0.0166666666666667
"222","c9","CD9",0.942857142857143,0.0166666666666667
"223","c1","IGHV3-15",0.942857142857143,0.0166666666666667
"224","c2","IGHV3-15",0.885714285714286,0.0333333333333333
"225","c5","IGHV3-15",0.885714285714286,0.0333333333333333
"226","c8","IGHV3-15",0.885714285714286,0.0333333333333333
